Type,Name,TotalRows,MaxKPI,MinKPI,AvgKPI
Granularity,1Minute,1440,0.047985341000021435,0.0,0.01699924882569483
Granularity,5Minutes,288,0.19018425500002922,0.10400729300000239,0.14907962897916777
Granularity,10Minutes,144,0.3762585350000299,0.2638486120000016,0.31416888485416955
Granularity,15Minutes,96,0.5504767360000405,0.3967981560000335,0.47938451423958695
Granularity,20Minutes,72,0.7397136530000135,0.557908671000041,0.6444296320138908
Granularity,30Minutes,48,1.094544962999993,0.864354410000029,0.9744738105416703
Granularity,1Hour,24,2.184301391999994,1.7776802770000069,1.9643017195000019
Granularity,2Hours,12,4.374061310999968,3.5846760760000325,3.94536626741667
Granularity,6Hours,4,12.112304995000013,11.483232325999998,11.869343357499995
Granularity,8Hours,3,16.09216613799997,15.675781086000033,15.831079267000002
Granularity,12Hours,2,24.071569600999997,23.437327998999972,23.754448799999984
Shift,Shift1,48,0.19018425500002922,0.1212824510000064,0.1569443154791661
Shift,Shift2,96,0.18561080900003435,0.10603831999999239,0.14161546240625103
Shift,Shift3,96,0.18814788800000679,0.10400729300000239,0.15262255527083654
